order_id,customer_id,order_date,amount,payment_method,channel
2fefa3f4-ed0b-4555-89ff-a6f5d3a08f26,100786,2025-07-11,25.01,applepay,store
54d6eb9e-17f7-47dd-9dc4-b84007b73029,138779,2025-07-11,438.57,applepay,store
da46519c-3505-46da-bd98-937a90cf4980,114405,2025-07-11,335.34,paypal,store
09aa8751-c2e9-4a62-8c34-16f6fd4489c6,143603,2025-07-11,481.91,card,android
db1a0f20-cfd9-42ca-850f-87167d9bdf15,127530,2025-07-11,298.6,cash,ios
025004b4-c071-4935-9658-d993094cf376,138286,2025-07-11,438.4,paypal,ios
ba1279eb-8bdb-4ea5-8809-fca0632bf9db,146059,2025-07-11,68.16,card,store
e4e559bf-0825-4e02-b898-2d6b7252cd22,126978,2025-07-11,164.21,cash,ios
61b939cb-8907-4828-bae4-f31d13f294fa,133379,2025-07-11,266.25,applepay,android
7e778a6c-0515-4e29-8d23-e0805b50f3d6,136333,2025-07-11,446.32,applepay,store
b60831ae-a1a5-438e-9b64-b81c72f6b4d4,103286,2025-07-11,307.18,card,store
10f4c601-67a5-4c05-813f-c12f8d6a949b,133557,2025-07-11,160.48,paypal,store
cce38636-8056-400f-86e5-755ca6c9cc87,101743,2025-07-11,12.57,cash,store
66c3fdd6-1af1-4833-b198-f198f26ea8f4,144565,2025-07-11,124.76,paypal,store
278ec5a1-a932-4f93-8f94-a85b72996f2c,109450,2025-07-11,335.56,card,web
3b25fdfb-4d58-42c1-9afa-f42e235cf139,103002,2025-07-11,196.89,paypal,ios
5b881bfc-900e-4741-b011-86c2dc30f617,141490,2025-07-11,48.4,paypal,web
959211e7-b81b-4f1e-b3d8-198457e555cc,100641,2025-07-11,221.6,card,store
d09dcd86-1db6-4dc5-896b-01f24cf32039,138113,2025-07-11,25.85,paypal,android
18977678-73e0-4331-87c5-bebb8b6fa344,104783,2025-07-11,48.93,cash,web
2c9a6121-a6e9-4151-8394-318103db6adf,148558,2025-07-11,124.36,cash,store
9b891008-3991-426d-823b-eef80c29c210,101070,2025-07-11,330.62,cash,web
33bae225-d370-455a-956d-d551da59748a,118087,2025-07-11,493.31,applepay,web
938f28be-fb01-4ea8-8125-1388a1015340,108097,2025-07-11,225.44,applepay,store
4c93f549-4173-4a77-8cf6-6ae136161081,142902,2025-07-11,347.52,card,ios
013494d8-19b9-4f33-8b50-15730c152c1f,143351,2025-07-11,180.25,card,android
a9735a5b-2b6a-4a83-93a4-fc068985f7eb,136289,2025-07-11,454.69,applepay,ios
2e8bbfee-232b-4868-b3ea-5b35c157e1e1,112348,2025-07-11,246.12,card,android
64b32cf8-93fe-4609-8d49-a5bcfd229f4b,145445,2025-07-11,114.45,paypal,store
772c41a7-125b-45f5-9f8b-078b310d4637,111032,2025-07-11,409.71,card,store
9237ee5e-6d0b-4171-8540-579ed0a514c6,141832,2025-07-11,147.13,card,ios
045778a2-a4b5-427a-9454-c2a1e90b6bf8,147767,2025-07-11,190.92,applepay,android
d98011af-3820-4554-87c0-fddb96d49f33,142167,2025-07-11,34.78,applepay,ios
c57901f7-73cf-4e89-860e-74dc2fc881d3,125813,2025-07-11,476.52,applepay,android
bd5f9563-b9fd-404e-9d67-aba7a5056a68,128315,2025-07-11,162.12,applepay,ios
441056ab-43cc-4e98-8c6b-6e171e0ca03f,145356,2025-07-11,153.0,paypal,store
307004d7-fb4e-4591-a617-77e5cacd23bd,140397,2025-07-11,407.4,applepay,ios
e7784e1f-103e-4e55-96be-2a23bbe85d16,107131,2025-07-11,187.02,applepay,android
05282315-6c6f-4e01-92ab-4314dbcd2965,145002,2025-07-11,434.69,paypal,android
0386ac2f-457c-45a7-a028-fb7b149400fb,112157,2025-07-11,156.74,cash,web
17a8e903-3446-4b41-9e12-bfeb4a37d5eb,142697,2025-07-11,259.9,applepay,store
ad519b5f-49ee-4e7c-b4f2-ae49f19491f0,132062,2025-07-11,335.48,cash,ios
8bf1db1e-e7b1-4ea2-a439-1d139e5d7a65,128407,2025-07-11,48.11,applepay,ios
553f51e1-4253-4358-a908-c01b10808ed7,144393,2025-07-11,477.93,card,store
0ce411ba-a47b-491b-94fc-0b56fdc8eb6f,112192,2025-07-11,259.3,card,store
fc0500e0-e6b2-41cf-bbb3-8290c0b1ee23,148763,2025-07-11,210.5,applepay,web
1e9abb30-2262-4d08-853b-dac4db14f9e5,114181,2025-07-11,274.86,paypal,ios
98a205e4-0170-4671-875f-875c21122fdb,103961,2025-07-11,237.07,card,ios
f41b115c-6007-4b11-b38f-4c593278b386,105905,2025-07-11,441.02,card,store
1e657a1e-c436-4b07-a036-68541a746e0f,137239,2025-07-11,252.39,cash,store
bf4b1a5f-f2fe-4a4c-8a83-03718e8987b4,139819,2025-07-11,118.32,applepay,android
a23ec538-3b94-46aa-a708-2f1abfca1179,130836,2025-07-11,267.8,card,web
c76c6b48-52e5-4421-a4f2-68734013c218,114059,2025-07-11,248.23,card,ios
a0ba0d43-828a-46fc-ac1a-239a7905fd15,115659,2025-07-11,392.23,card,store
715d7bda-c791-461a-9815-6e0755b79de0,138064,2025-07-11,392.35,card,web
cdcd36c2-3b0e-46aa-ac06-724f5efb4ffd,118269,2025-07-11,208.96,applepay,android
48d42625-8d88-419f-a152-81c31d60602b,144876,2025-07-11,365.83,card,android
87dde38d-c237-4649-87ab-c2b290b4b679,146997,2025-07-11,125.73,paypal,ios
05267f27-4491-429d-bcf5-11464d54fb35,130260,2025-07-11,41.96,cash,ios
54f5e4da-727b-47cc-b24e-8338b390da79,108249,2025-07-11,168.95,applepay,store
c084e7b6-2ce2-4835-bcb3-7282cae5f2b4,106789,2025-07-11,316.68,cash,store
ba8eb8aa-ad75-41fa-b41b-bdfdc37d05b6,136860,2025-07-11,118.43,applepay,web
27fafb20-6478-463b-aaf8-7b53459051f7,131761,2025-07-11,334.42,card,store
ec9e59d3-7920-48d1-b88c-cf991777f348,132933,2025-07-11,229.81,card,store
e50431cd-50bd-4953-a341-335aacb59744,120705,2025-07-11,19.18,card,store
a9a873f8-b645-4309-9005-c87839b540d2,143401,2025-07-11,423.59,paypal,web
818eeb29-2aaf-4dfd-a0c4-113e91509f33,132804,2025-07-11,171.45,applepay,ios
f979e2fe-8d81-477b-876f-db62c0c36d82,146386,2025-07-11,430.24,cash,web
07c1b6a9-b5b2-4947-8ed5-95b05e147c02,124890,2025-07-11,316.22,applepay,android
9b52c5a6-59bb-447c-a3bf-2e84bfa85243,132507,2025-07-11,342.56,cash,web
5539c3bf-5abb-4fa9-ad8b-7f191bc5c5d7,134900,2025-07-11,158.46,paypal,ios
19bf6078-8f5b-4b32-b204-232fa4cfef8f,135043,2025-07-11,99.81,cash,ios
d26a2c74-8565-4ef6-bc2f-36be9117cb54,115199,2025-07-11,399.93,card,ios
76bb8505-877d-44b6-a4ac-a6d9ff47ffcf,112158,2025-07-11,85.43,card,store
fa4c1f23-5408-42ac-b041-719742931ddf,113453,2025-07-11,425.74,card,store
90985a53-9164-422c-87f5-281912801535,137323,2025-07-11,462.4,paypal,ios
37871d31-1b85-4949-8559-16ae390a15d9,134455,2025-07-11,126.33,applepay,store
17775c6c-6ddb-4833-a45b-17e7b0637ccb,109218,2025-07-11,365.66,cash,web
7e6b93d2-ce29-41d7-b21c-7416a3b724a2,134329,2025-07-11,74.52,applepay,web
deeb4681-fa24-4ab7-ad95-0fa51812eddf,140992,2025-07-11,372.52,card,ios
69469cb6-4826-473b-8c96-bba6d9e7e441,120040,2025-07-11,239.77,cash,android
4aea55b5-2a6e-457a-9087-dfe2f6eba375,120586,2025-07-11,73.77,cash,ios
0bbba8bd-0d1a-4ba0-b14d-29e7ad6dd3bb,130840,2025-07-11,22.28,card,store
b118313c-9bc0-433b-a166-05474444b6f7,131864,2025-07-11,325.12,cash,android
6f72101f-5e40-4eca-95f1-691ff2fa7852,149749,2025-07-11,132.75,applepay,ios
292d1e02-72c0-40d9-afa8-7c1002374031,149609,2025-07-11,313.84,card,ios
5990273f-7a60-407c-959f-42a1b360825d,137613,2025-07-11,49.4,paypal,store
c92c8be3-3609-4a1e-93eb-7734962fddc6,147892,2025-07-11,71.52,card,ios
d89cf346-3ec2-4001-bfc9-4bd76c4aec63,134474,2025-07-11,334.78,card,web
c8c051d2-610f-424c-939b-adf065e84fda,116168,2025-07-11,330.96,applepay,android
861f9a60-1fd5-4432-ac32-068c2eb1c7f4,141188,2025-07-11,329.98,applepay,store
3b98a5cb-bd79-429c-9911-95f80a5afa2d,126925,2025-07-11,326.51,paypal,ios
bfd06592-f664-4ad6-a258-14478a38fbc2,123894,2025-07-11,104.23,card,ios
319bc51b-be59-4236-85d2-e790e008a419,123454,2025-07-11,215.07,cash,store
1a6c19d5-e6fa-4f25-9054-3d9b6f668c73,128048,2025-07-11,467.93,paypal,ios
b664d622-65f0-4461-ad79-f264fd88b05f,101780,2025-07-11,273.25,cash,store
c8e8160f-d899-408e-a240-b98a7825d320,113375,2025-07-11,412.35,paypal,web
f39647a2-b164-44ad-90a1-9405e7605dc4,128838,2025-07-11,224.48,paypal,web
2ff04046-5b2a-49a7-8846-8fafa0ccf0ad,113435,2025-07-11,488.25,card,store
8e98c92d-a543-4adb-9dbe-e03a685641b6,142157,2025-07-11,334.42,cash,web
3c378c86-f99c-4dbb-8e28-a05196709542,126020,2025-07-11,177.02,card,store
9ee5765b-8d34-44cf-b03a-2b3926baaf2e,137180,2025-07-11,418.2,applepay,store
b888e080-fb69-4c92-b1c5-7881cba8f5b6,124952,2025-07-11,84.78,paypal,android
22fc60b6-bd38-4147-8f1b-47a2ee43d6c3,109394,2025-07-11,234.17,applepay,ios
32f08ca3-8d14-4614-a333-e627ab8a6c9b,115177,2025-07-11,291.5,card,ios
5ce7c268-dbf3-46da-9bea-3bf717474496,115559,2025-07-11,439.25,cash,android
d8a2df74-2d24-4013-9aa6-e3ecf6e99756,118456,2025-07-11,43.05,applepay,store
99064a19-a05a-4e6c-b357-3c5955e49362,112409,2025-07-11,346.06,card,web
8f79bbb6-c128-4dd4-8120-7b4ac0fa5650,123202,2025-07-11,352.79,cash,store
09021916-c7f1-48de-9ae9-d08c9f60afd5,131135,2025-07-11,148.35,paypal,ios
6820d936-4217-4fd7-817f-b2ded9162804,116704,2025-07-11,112.98,cash,android
20a4ae06-269b-414a-b74b-eb42e1b8f7e8,140453,2025-07-11,460.39,applepay,ios
dd4057e3-ee52-4934-81dd-5237cfef0701,103817,2025-07-11,362.91,applepay,ios
3f6039bc-eb02-478e-a317-77fdd1f7a292,122304,2025-07-11,163.53,paypal,ios
491c498a-f151-44c4-968a-ad1c5a14c304,103790,2025-07-11,491.95,cash,store
8d08be73-ed23-45bc-846d-c4f2aee7b2b2,126917,2025-07-11,372.36,applepay,web
e04e0b82-6038-4284-bcaf-7c3d010ebe56,115438,2025-07-11,179.89,applepay,ios
